id,name,tel,address,url,place_detail,area_id,train_id,user_id
1,新宿サンプル01,0,新宿1-1,https://www.city.shinjuku.lg.jp/,新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル01,4,208,25
2,新宿サンプル02,0,新宿1-1,https://www.city.shinjuku.lg.jp/,新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル02,4,208,25
3,新宿サンプル03,0,新宿1-1,https://www.city.shinjuku.lg.jp/,新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル03,4,208,25
4,新宿サンプル04,0,新宿1-1,https://www.city.shinjuku.lg.jp/,新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル04,4,208,25
5,新宿サンプル05,0,新宿1-1,https://www.city.shinjuku.lg.jp/,新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル05,4,208,25
6,新宿サンプル06,0,新宿1-1,https://www.city.shinjuku.lg.jp/,新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル06,4,208,25
7,新宿サンプル07,0,新宿1-1,https://www.city.shinjuku.lg.jp/,新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル07,4,208,25
8,新宿サンプル08,0,新宿1-1,https://www.city.shinjuku.lg.jp/,新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル08,4,208,25
9,新宿サンプル09,0,新宿1-1,https://www.city.shinjuku.lg.jp/,新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル09,4,208,25
10,新宿サンプル10,0,新宿1-1,https://www.city.shinjuku.lg.jp/,新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル新宿サンプル10,4,208,25
