id,name
63,東京都千代田区
64,東京都中央区
65,東京都港区
66,東京都新宿区
67,東京都文京区
68,東京都台東区
69,東京都墨田区
70,東京都江東区
71,東京都品川区
72,東京都目黒区
73,東京都大田区
74,東京都世田谷区
75,東京都渋谷区
76,東京都中野区
77,東京都杉並区
78,東京都豊島区
79,東京都北区
80,東京都荒川区
81,東京都板橋区
82,東京都練馬区
83,東京都足立区
84,東京都葛飾区
85,東京都江戸川区
86,八王子市
87,立川市
88,武蔵野市
89,三鷹市
90,青梅市
91,府中市
92,昭島市
93,調布市
94,町田市
95,小金井市
96,小平市
97,日野市
98,東村山市
99,国分寺市
100,国立市
101,福生市
102,狛江市
103,東大和市
104,清瀬市
105,東久留米市
106,武蔵村山市
107,多摩市
108,稲城市
109,羽村市
110,あきる野市
111,西東京市
112,瑞穂町
113,日の出町
114,檜原村
115,奥多摩町
116,大島町
117,利島村
118,新島村
119,神津島村
120,三宅村
121,御蔵島村
122,八丈町
123,青ヶ島村
124,小笠原村
